EventTime,Latitude,Longitude,PeakCurrent,Sensors,DegreesFreedom,EllipseAngle,EllipseSemimajorAxis,EllipseSemiminorAxis,Chisq,RiseTime,Peak2Zero,MaxRateRise,Cloud
2018-09-25T07:57:40.000Z,42.5104,115.3925,2,3,3,26.4,2.2,1.1,0.7,12.6,30.6,0,1,
2018-09-25T07:58:01.000Z,42.2085,114.9387,14,8,13,34.4,1.6,1,0.7,11.8,8,0,1,
2018-09-25T07:58:31.000Z,42.6651,115.7604,30,11,19,32.3,1.4,1,0.4,14.6,21.8,0,0,
2018-09-25T07:58:31.000Z,42.5599,115.6383,3,3,3,29.6,2.5,1.1,0,12.4,27.2,0,1,
2018-09-25T07:58:31.000Z,42.5255,115.5891,-11,5,7,28.8,1.9,1.1,0.6,11.2,11,0,1,
2018-09-25T07:58:32.000Z,42.5408,115.4956,-3,3,3,26.2,2.2,1.1,0.4,9.4,9,0,1,
2018-09-25T07:58:32.000Z,42.1537,114.897,-23,12,21,32.9,1.2,1,0.3,12.8,13.4,0,0,
2018-09-25T07:58:32.000Z,42.1649,114.9074,-9,6,9,27.3,1.7,1.1,0.7,11.6,26.8,0,0,
2018-09-25T07:58:32.000Z,42.1648,114.9094,-8,7,11,33.5,1.6,1,0.3,10.4,26,0,0,
2018-09-25T07:58:51.000Z,42.1531,114.678,-12,9,15,32.3,1.5,1,0.8,15,15.6,0,0,
2018-09-25T07:59:04.000Z,42.9752,115.6355,-4,4,5,25.9,2.4,1.1,0.3,19.6,23.6,0,0,
2018-09-25T07:59:15.000Z,42.6624,115.8032,-6,3,3,25.4,2.3,1.1,0.8,9.8,7.2,0,1,
2018-09-25T07:59:56.000Z,42.2737,114.1491,6,6,9,24.1,1.7,1.1,0.6,17,14.2,0,1,
